candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
G+C,10,1,4.894711444584103,4.8935918836473595,0.001119560936743369,0.00011195609367433689,1.0758936955367482,0.0010405869477512234,"[3, 9, 8, 2, 0, 6, 7, 1, 4, 5]","[4, 9, 8, 2, 0, 6, 7, 1, 3, 5]"
A+C,10,1,4.886768920226282,4.886285788962504,0.0004831312637776364,4.831312637776364e-05,1.075627221243092,0.0004491623624207709,"[3, 9, 8, 0, 6, 2, 7, 1, 4, 5]","[3, 9, 8, 2, 0, 6, 7, 1, 4, 5]"
G+A,10,1,9.713055372121804,9.578602490359176,0.1344528817626287,0.01344528817626287,1.9999974220178263,0.06722652753570915,"[6, 8, 1, 2, 3, 4, 0, 7, 9, 5]","[3, 8, 1, 2, 6, 4, 0, 7, 9, 5]"
Full,10,2,14.89565846256064,14.763730652392159,0.13192781016848087,0.013192781016848088,3.1442654388759075,0.04195822926948744,"[0, 5, 3, 4, 6, 8, 1, 9, 2, 7]","[0, 5, 3, 9, 6, 8, 1, 2, 4, 7]"
G,10,2,5.206585174514551,5.127894207886088,0.07869096662846253,0.007869096662846253,0.9999999999999865,0.0786909666284636,"[0, 5, 3, 4, 6, 8, 1, 2, 9, 7]","[0, 5, 3, 4, 6, 8, 1, 9, 2, 7]"
A,10,2,5.224136671265244,5.1450809534428465,0.0790557178223974,0.00790557178223974,0.9999999999999866,0.07905571782239847,"[0, 5, 3, 4, 6, 8, 1, 2, 9, 7]","[0, 5, 3, 4, 6, 8, 1, 9, 2, 7]"
C,10,2,7.749578410043518,7.7046362676336555,0.044942142409862385,0.004494214240986239,0.9999999998130482,0.0449421424182644,"[3, 9, 8, 0, 5, 7, 2, 1, 4, 6]","[5, 3, 8, 6, 0, 7, 9, 1, 4, 2]"
G+C,10,2,4.83436578842537,4.798350531300072,0.03601525712529874,0.003601525712529874,1.1565017630451697,0.03114154969419799,"[1, 5, 3, 9, 8, 7, 2, 0, 4, 6]","[1, 5, 3, 9, 6, 8, 2, 0, 4, 7]"
A+C,10,2,4.832846297715274,4.807679011752925,0.02516728596234863,0.002516728596234863,1.156270941159688,0.021765907164550003,"[1, 5, 3, 9, 8, 7, 2, 0, 4, 6]","[1, 5, 3, 9, 6, 8, 2, 0, 4, 7]"
G+A,10,2,10.430721845779797,10.272975161328937,0.15774668445085993,0.015774668445085994,1.9999979804234187,0.07887342187088782,"[0, 5, 3, 4, 6, 8, 1, 2, 9, 7]","[0, 5, 3, 4, 6, 8, 1, 9, 2, 7]"
Full,20,0,16.061135414665877,16.060852836955622,0.00028257771025508305,2.8257771025508305e-05,3.0348197781496595,9.31118586644284e-05,"[6, 2, 0, 3, 1, 5, 4, 8, 7, 9]","[6, 2, 0, 3, 1, 5, 4, 9, 7, 8]"
G,20,0,5.170206919080032,5.109610764183527,0.06059615489650483,0.0060596154896504825,0.9999999999999805,0.060596154896506015,"[6, 2, 0, 3, 1, 5, 4, 9, 7, 8]","[0, 2, 3, 5, 1, 6, 4, 9, 7, 8]"
A,20,0,5.176588092535077,5.114989003317399,0.06159908921767787,0.0061599089217677875,0.9999999999999802,0.061599089217679086,"[6, 2, 0, 3, 1, 5, 4, 9, 7, 8]","[6, 2, 3, 0, 1, 5, 4, 9, 7, 8]"
C,20,0,11.62612978701603,11.37165496229636,0.2544748247196704,0.025447482471967042,0.9999999997139586,0.25447482479246075,"[6, 9, 3, 7, 2, 8, 4, 1, 0, 5]","[6, 9, 3, 7, 2, 8, 5, 1, 0, 4]"
G+C,20,0,6.357963565643215,6.351162981048605,0.006800584594609305,0.0006800584594609304,1.0546922845993036,0.006447932438600295,"[6, 2, 3, 1, 0, 5, 4, 8, 7, 9]","[6, 2, 3, 5, 1, 0, 4, 8, 7, 9]"
A+C,20,0,6.353789235070221,6.352534125712563,0.0012551093576576022,0.00012551093576576022,1.0542220044170203,0.0011905550751159589,"[6, 2, 3, 5, 1, 0, 4, 8, 7, 9]","[6, 2, 3, 1, 0, 5, 4, 8, 7, 9]"
